x,y,color,label,batch
236.82905496150838,339.31058248238264,#1f77b4,a,0
235.0202057240728,357.8933094104541,#1f77b4,a,0
219.1268140601226,335.5345966628081,#1f77b4,a,0
222.27438317796083,332.2844162410683,#1f77b4,a,0
243.2935027570149,341.9540764604328,#1f77b4,a,0
236.59087928666804,341.9062036986275,#1f77b4,a,0
243.82297445104342,356.329151441648,#1f77b4,a,0
213.2394919926174,345.2433515637006,#1f77b4,a,0
227.94933531952728,378.5932869532063,#1f77b4,a,0
222.5610419173407,351.39216722454375,#1f77b4,a,0
246.45091566495483,373.11650300552253,#1f77b4,a,0
228.86415395961154,371.6889053447152,#1f77b4,a,0
252.6233535519603,366.65365559795663,#1f77b4,a,0
229.87741006736405,385.05295315012035,#1f77b4,a,0
260.6518972445399,366.48528831360716,#1f77b4,a,0
249.0906400854867,366.5192195398347,#1f77b4,a,0
251.91867303925503,359.20844109954567,#1f77b4,a,0
264.12392465036385,378.08030328439713,#1f77b4,a,0
268.1610568026622,359.50524162647434,#1f77b4,a,0
255.05444118497576,376.9094366029229,#1f77b4,a,0
263.95094818174243,373.8078371437376,#1f77b4,a,0
262.63714397833905,357.82599488637254,#1f77b4,a,0
271.5637717664019,356.62601500079563,#1f77b4,a,0
269.98674089562087,356.4955319431788,#1f77b4,a,0
300.0630652093857,370.3783392750206,#1f77b4,a,0
275.8519453972066,370.325675738944,#1f77b4,a,0
289.13666414204056,332.3961737736947,#1f77b4,a,0
273.64724549669387,355.06234728522656,#1f77b4,a,0
300.031368826318,362.53009847371845,#1f77b4,a,0
294.99601262096104,337.7798133022476,#1f77b4,a,0
308.2582748321337,335.440732136528,#1f77b4,a,0
287.04374370722235,319.4471211480554,#1f77b4,a,0
295.5663484637463,332.208973591269,#1f77b4,a,0
293.22195759310927,319.1448139783952,#1f77b4,a,0
280.64536808590293,324.07071845801664,#1f77b4,a,0
284.83403436830497,316.1594275327677,#1f77b4,a,0
273.41217573775725,321.11992092121903,#1f77b4,a,0
308.91961207036246,335.2123334079751,#1f77b4,a,0
293.2009383502209,301.003681040649,#1f77b4,a,0
280.63779700546826,296.42687669816723,#1f77b4,a,0
292.10895457599685,304.02402061340365,#1f77b4,a,0
300.16485631993095,327.28140954764064,#1f77b4,a,0
279.2610321488707,294.9340616235997,#1f77b4,a,0
263.57905115421124,287.76769314850026,#1f77b4,a,0
279.74384299795884,299.28602710264175,#1f77b4,a,0
254.9173541289893,319.58930123197615,#1f77b4,a,0
268.60066733167423,304.14983148075044,#1f77b4,a,0
279.63911895814704,308.52952093395743,#1f77b4,a,0
253.09543302090813,304.1795159821669,#1f77b4,a,0
242.3981322454091,301.27819306528386,#1f77b4,a,0
260.3385679354221,316.7154083616587,#1f77b4,a,0
257.3566206800899,298.660943486623,#1f77b4,a,0
264.27083917050516,310.4108662980961,#1f77b4,a,0
245.37274384485772,324.9605950555836,#1f77b4,a,0
242.01858734637526,305.4120715300621,#1f77b4,a,0
233.13752102190276,308.3031206601835,#1f77b4,a,0
245.0907638706278,317.00907061558115,#1f77b4,a,0
249.2021726262101,309.1568306023423,#1f77b4,a,0
236.773595629179,318.75687676087887,#1f77b4,a,0
243.4866318128057,325.5083844894213,#1f77b4,a,0
226.25248957092043,299.8523080665853,#1f77b4,a,0
238.17546416764603,321.8111214200403,#1f77b4,a,0
218.39674655283716,332.69943947135994,#1f77b4,a,0
223.19609609164684,308.5152949514354,#1f77b4,a,0
229.37075018966175,338.86978361353084,#1f77b4,a,0
212.90232924093843,338.34183353181663,#1f77b4,a,0
212.42844591938615,324.32824401364167,#1f77b4,a,0
227.07650788191194,344.1313550558601,#1f77b4,a,0
240.34574566050588,343.42590366904864,#1f77b4,a,0
213.2639584729471,330.09561708458074,#1f77b4,a,0
206.3865662260311,324.95413937701676,#1f77b4,a,0
215.94052276616563,335.01088189412286,#1f77b4,a,0
215.2208773111968,342.78103826832375,#1f77b4,a,0
214.48824355986497,358.5783896595101,#1f77b4,a,0
226.22397430714997,333.0776412047425,#1f77b4,a,0
246.75000823105094,334.20349668679654,#1f77b4,a,0
226.1224559036377,331.59149983129043,#1f77b4,a,0
234.94307584875045,368.18676237113107,#1f77b4,a,0
259.45752966882065,333.2621726533081,#1f77b4,a,0
264.57039021862846,363.37921557093284,#1f77b4,a,0
269.8889642567357,335.124770894711,#1f77b4,a,0
255.1703715039137,333.74511724315323,#1f77b4,a,0
264.2739830675774,360.61175209194226,#1f77b4,a,0
252.52963790840442,361.8072443815358,#1f77b4,a,0
265.9054017055151,325.91740210877174,#1f77b4,a,0
335.52213833210556,273.2439174666837,#1f77b4,a,1
310.9760595841154,277.5098089486197,#1f77b4,a,1
319.106954698405,257.4690887964836,#1f77b4,a,1
344.92452116259693,241.2687621093932,#1f77b4,a,1
330.4796494688032,274.6198738226584,#1f77b4,a,1
325.2432539869767,239.9194752316929,#1f77b4,a,1
335.8310658416366,274.6953338672214,#1f77b4,a,1
314.36954607627393,247.47112180355504,#1f77b4,a,1
329.8368878120321,274.0904968808862,#1f77b4,a,1
322.0521306013075,254.1881934596924,#1f77b4,a,1
337.1636212489755,247.91047680486355,#1f77b4,a,1
322.84831606796695,251.98729574892337,#1f77b4,a,1
344.51479559257643,283.53734297831573,#1f77b4,a,1
314.7878223414778,258.49063593026904,#1f77b4,a,1
323.3884083122436,252.8265491328831,#1f77b4,a,1
327.54106089182926,268.2599927642357,#1f77b4,a,1
328.7336346365955,293.00318892816136,#1f77b4,a,1
318.95259101432305,263.9208911525691,#1f77b4,a,1
317.85424346818087,281.7222579319007,#1f77b4,a,1
313.28161380104626,265.2793690987433,#1f77b4,a,1
325.844295904967,284.0934952721106,#1f77b4,a,1
339.9869522657374,271.27638782820077,#1f77b4,a,1
340.02204039730213,276.94163596572014,#1f77b4,a,1
330.96408760043255,279.5740486512484,#1f77b4,a,1
340.5911957991611,268.1971328971588,#1f77b4,a,1
345.9086703609853,268.7429273411709,#1f77b4,a,1
322.8242148471568,304.4680077380077,#1f77b4,a,1
344.7587630801852,307.3239392805384,#1f77b4,a,1
350.7825039095964,270.846855127639,#1f77b4,a,1
330.02342785849305,288.8421034784631,#1f77b4,a,1
328.46335380496066,305.14146262057096,#1f77b4,a,1
342.76084417269874,280.2993719311181,#1f77b4,a,1
323.09240294156524,274.6375159141958,#1f77b4,a,1
339.0248694646566,298.64830556069796,#1f77b4,a,1
341.96139919943846,308.4796617917468,#1f77b4,a,1
353.344715546085,289.6055981217413,#1f77b4,a,1
358.35942383710784,319.0998801520002,#1f77b4,a,1
333.15484595609047,298.23805271962203,#1f77b4,a,1
327.37793747453355,283.8664999528453,#1f77b4,a,1
338.56505455767314,322.73899790345763,#1f77b4,a,1
341.9990151899655,286.63245533820384,#1f77b4,a,1
328.5357023103894,283.9628186960613,#1f77b4,a,1
353.9201887642781,300.51417253752834,#1f77b4,a,1
332.2609394070794,322.9974082453755,#1f77b4,a,1
364.656391857747,301.2339598174208,#1f77b4,a,1
331.6510156697255,300.74871322569027,#1f77b4,a,1
361.0728786879459,309.5059756361287,#1f77b4,a,1
365.00568616272886,312.8385440470568,#1f77b4,a,1
345.0500762724267,310.9567572885426,#1f77b4,a,1
370.7440123624152,310.7630867658642,#1f77b4,a,1
360.50406819640676,311.78219418862363,#1f77b4,a,1
351.813146305199,317.70973380024043,#1f77b4,a,1
356.556235150426,306.46359052325556,#1f77b4,a,1
383.2478980536017,313.809580903662,#1f77b4,a,1
376.5550646575667,315.3528105998877,#1f77b4,a,1
390.8938632300399,279.93651388005924,#1f77b4,a,1
387.64927017146044,274.71224792135393,#1f77b4,a,1
367.84060156309243,278.61485971932234,#1f77b4,a,1
376.20987440392355,260.67562550892524,#1f77b4,a,1
391.96095989362186,273.2523972678315,#1f77b4,a,1
387.70235900724185,279.7505197478362,#1f77b4,a,1
374.38644885312385,267.68071225134526,#1f77b4,a,1
377.0880510235553,243.32771092634488,#1f77b4,a,1
375.2470822946282,248.12873176883792,#1f77b4,a,1
400.5827475121553,245.94038427814667,#1f77b4,a,1
370.5441820419306,215.53938237355646,#1f77b4,a,1
384.675212276938,239.48658118939477,#1f77b4,a,1
387.7980633416547,218.3169741656219,#1f77b4,a,1
393.89577279116764,209.04470341252505,#1f77b4,a,1
378.4975938491869,241.43954149470215,#1f77b4,a,1
388.34064280133543,233.32857976735403,#1f77b4,a,1
346.577290657342,231.21903466279298,#1f77b4,a,1
365.9146995221517,203.78659012949532,#1f77b4,a,1
341.9972321875216,229.98017590955686,#1f77b4,a,1
342.93577320720345,203.29719228854196,#1f77b4,a,1
336.2144477995073,228.62310372455238,#1f77b4,a,1
353.2261139765014,212.43364880538383,#1f77b4,a,1
347.05930760382137,224.20819957739275,#1f77b4,a,1
317.44385418149903,197.4719594418936,#1f77b4,a,1
309.7041764411737,218.75274652625615,#1f77b4,a,1
321.9054949773385,227.47944659163966,#1f77b4,a,1
296.0765386948243,219.7350847489542,#1f77b4,a,1
291.0265786217496,237.8128444316729,#1f77b4,a,1
295.0119362339883,220.4393893865182,#1f77b4,a,1
305.31491286210866,240.94212101556604,#1f77b4,a,1
296.0016512272281,258.43127769134907,#1f77b4,a,1
305.95611791461414,265.19721513958496,#1f77b4,a,1
306.8938104528751,230.89637485290007,#1f77b4,a,1
292.82115001444566,238.37710451979206,#1f77b4,a,1
277.1959489720466,249.48914260305244,#1f77b4,a,1
298.7276772980858,262.2260825722384,#1f77b4,a,1
272.95578570581756,271.58371047085006,#1f77b4,a,1
286.9690829454928,254.76048555811082,#1f77b4,a,1
286.46254592876284,261.1215396724109,#1f77b4,a,1
297.8928886221133,258.7849534255422,#1f77b4,a,1
302.7363523186878,281.14432351465643,#1f77b4,a,1
285.51348181382116,260.84208027445396,#1f77b4,a,1
310.5219727184303,255.74379296431982,#1f77b4,a,1
294.5427631478334,290.38677922509487,#1f77b4,a,1
296.62353279380807,295.54777806433486,#1f77b4,a,1
294.6099201809742,289.230325228448,#1f77b4,a,1
284.8936561869243,292.257056272264,#1f77b4,a,1
318.3408210723539,294.001690690848,#1f77b4,a,1
322.3486883576351,297.9308084794286,#1f77b4,a,1
314.2936192517126,307.9262745136589,#1f77b4,a,1
